Airfoil [-],AoA [deg],Re [-],C_l [-],C_d [-],C_m [-]
DTU10_AF_000,-180.0,0.0,00.0000,00.6026,00.0000
DTU10_AF_000,-175.0,0.0,-0.0007,00.6025,-0.0001
DTU10_AF_000,-170.0,0.0,-0.0015,00.6024,-0.0002
DTU10_AF_000,-165.0,0.0,-0.0022,00.6022,-0.0003
DTU10_AF_000,-160.0,0.0,-0.0028,00.6019,-0.0004
DTU10_AF_000,-155.0,0.0,-0.0033,00.6016,-0.0005
DTU10_AF_000,-150.0,0.0,-0.0037,00.6012,-0.0005
DTU10_AF_000,-145.0,0.0,-0.0041,00.6007,-0.0006
DTU10_AF_000,-140.0,0.0,-0.0043,00.6003,-0.0007
DTU10_AF_000,-135.0,0.0,-0.0043,00.5998,-0.0008
DTU10_AF_000,-130.0,0.0,-0.0043,00.5993,-0.0008
DTU10_AF_000,-125.0,0.0,-0.0041,00.5988,-0.0009
DTU10_AF_000,-120.0,0.0,-0.0037,00.5984,-0.0009
DTU10_AF_000,-115.0,0.0,-0.0033,00.5980,-0.0010
DTU10_AF_000,-110.0,0.0,-0.0028,00.5976,-0.0010
DTU10_AF_000,-105.0,0.0,-0.0022,00.5974,-0.0010
DTU10_AF_000,-100.0,0.0,-0.0015,00.5971,-0.0011
DTU10_AF_000,-095.0,0.0,-0.0007,00.5970,-0.0011
DTU10_AF_000,-090.0,0.0,00.0000,00.5970,-0.0011
DTU10_AF_000,-085.0,0.0,00.0007,00.5970,-0.0011
DTU10_AF_000,-080.0,0.0,00.0015,00.5971,-0.0011
DTU10_AF_000,-075.0,0.0,00.0022,00.5974,-0.0010
DTU10_AF_000,-070.0,0.0,00.0028,00.5976,-0.0010
DTU10_AF_000,-065.0,0.0,00.0033,00.5980,-0.0010
DTU10_AF_000,-060.0,0.0,00.0037,00.5984,-0.0009
DTU10_AF_000,-055.0,0.0,00.0041,00.5988,-0.0009
DTU10_AF_000,-050.0,0.0,00.0043,00.5993,-0.0008
DTU10_AF_000,-045.0,0.0,00.0043,00.5998,-0.0006
DTU10_AF_000,-040.0,0.0,00.0041,00.6003,-0.0005
DTU10_AF_000,-039.0,0.0,00.0039,00.6004,-0.0005
DTU10_AF_000,-038.0,0.0,00.0036,00.6006,-0.0004
DTU10_AF_000,-037.0,0.0,00.0031,00.6007,-0.0003
DTU10_AF_000,-036.0,0.0,00.0027,00.6009,-0.0003
DTU10_AF_000,-035.0,0.0,00.0023,00.6010,-0.0003
DTU10_AF_000,-034.0,0.0,00.0019,00.6012,-0.0002
DTU10_AF_000,-033.0,0.0,00.0015,00.6013,-0.0002
DTU10_AF_000,-032.0,0.0,00.0011,00.6014,-0.0002
DTU10_AF_000,-030.0,0.0,00.0007,00.6016,-0.0003
DTU10_AF_000,-028.0,0.0,00.0003,00.6017,-0.0003
DTU10_AF_000,-026.0,0.0,-0.0000,00.6018,-0.0004
DTU10_AF_000,-024.0,0.0,-0.0004,00.6019,-0.0004
DTU10_AF_000,-022.0,0.0,-0.0008,00.6019,-0.0005
DTU10_AF_000,-020.0,0.0,-0.0013,00.6020,-0.0005
DTU10_AF_000,-018.0,0.0,-0.0017,00.6021,-0.0006
DTU10_AF_000,-016.0,0.0,-0.0021,00.6021,-0.0006
DTU10_AF_000,-014.0,0.0,-0.0026,00.6022,-0.0007
DTU10_AF_000,-012.0,0.0,-0.0030,00.6022,-0.0007
DTU10_AF_000,-010.0,0.0,-0.0034,00.6022,-0.0007
DTU10_AF_000,-008.0,0.0,-0.0038,00.6023,-0.0007
DTU10_AF_000,-006.0,0.0,-0.0036,00.6023,00.0006
DTU10_AF_000,-004.0,0.0,-0.0035,00.6023,00.0005
DTU10_AF_000,-002.0,0.0,-0.0029,00.6023,00.0004
DTU10_AF_000,0000.0,0.0,-0.0022,00.6023,00.0002
DTU10_AF_000,0002.0,0.0,-0.0011,00.6023,00.0000
DTU10_AF_000,0004.0,0.0,00.0004,00.6023,-0.0003
DTU10_AF_000,0006.0,0.0,-0.0007,00.6023,-0.0001
DTU10_AF_000,0008.0,0.0,-0.0019,00.6022,00.0001
DTU10_AF_000,0010.0,0.0,-0.0031,00.6022,00.0003
DTU10_AF_000,0012.0,0.0,-0.0041,00.6021,00.0004
DTU10_AF_000,0014.0,0.0,-0.0051,00.6021,00.0006
DTU10_AF_000,0016.0,0.0,-0.0061,00.6020,00.0007
DTU10_AF_000,0018.0,0.0,-0.0071,00.6019,00.0009
DTU10_AF_000,0020.0,0.0,-0.0079,00.6019,00.0010
DTU10_AF_000,0022.0,0.0,-0.0086,00.6017,00.0011
DTU10_AF_000,0024.0,0.0,-0.0091,00.6013,00.0012
DTU10_AF_000,0026.0,0.0,-0.0095,00.6007,00.0013
DTU10_AF_000,0028.0,0.0,-0.0097,00.6002,00.0014
DTU10_AF_000,0030.0,0.0,-0.0098,00.5997,00.0014
DTU10_AF_000,0032.0,0.0,-0.0098,00.5992,00.0015
DTU10_AF_000,0033.0,0.0,-0.0098,00.5990,00.0015
DTU10_AF_000,0034.0,0.0,-0.0098,00.5989,00.0015
DTU10_AF_000,0035.0,0.0,-0.0097,00.5988,00.0015
DTU10_AF_000,0036.0,0.0,-0.0096,00.5986,00.0015
DTU10_AF_000,0037.0,0.0,-0.0096,00.5985,00.0015
DTU10_AF_000,0038.0,0.0,-0.0094,00.5984,00.0014
DTU10_AF_000,0039.0,0.0,-0.0092,00.5983,00.0014
DTU10_AF_000,0040.0,0.0,-0.0090,00.5982,00.0014
DTU10_AF_000,0045.0,0.0,-0.0079,00.5977,00.0013
DTU10_AF_000,0050.0,0.0,-0.0065,00.5976,00.0013
DTU10_AF_000,0055.0,0.0,-0.0052,00.5976,00.0012
DTU10_AF_000,0060.0,0.0,-0.0042,00.5975,00.0012
DTU10_AF_000,0065.0,0.0,-0.0033,00.5975,00.0011
DTU10_AF_000,0070.0,0.0,-0.0028,00.5974,00.0011
DTU10_AF_000,0075.0,0.0,-0.0022,00.5974,00.0011
DTU10_AF_000,0080.0,0.0,-0.0015,00.5971,00.0011
DTU10_AF_000,0085.0,0.0,-0.0007,00.5970,00.0011
DTU10_AF_000,0090.0,0.0,00.0000,00.5970,00.0011
DTU10_AF_000,0095.0,0.0,00.0007,00.5970,00.0011
DTU10_AF_000,0100.0,0.0,00.0015,00.5971,00.0011
