Name X Y Z
probe001 166.51 451.7 1.6
probe002 166.51 461.75 1.6
probe003 166.51 471.8 1.6
probe004 166.51 491.9 1.6
probe005 166.51 501.95 1.6
probe006 166.51 512 1.6
probe007 166.51 522.05 1.6
probe008 166.51 532.1 1.6
probe009 166.51 542.15 1.6
probe010 166.51 562.25 1.6
probe011 166.51 572.3 1.6
probe012 166.51 582.35 1.6
probe013 197.15 441.65 1.6
probe014 197.15 461.75 1.6
probe015 197.15 481.85 1.6
probe016 197.15 501.95 1.6
probe017 197.15 512 1.6
probe018 197.15 532.1 1.6
probe019 197.15 542.15 1.6
probe020 197.15 562.25 1.6
probe021 197.15 582.35 1.6
probe022 227.79 441.65 1.6
probe023 227.79 461.75 1.6
probe024 227.79 481.85 1.6
probe025 227.79 501.95 1.6
probe026 227.79 522.05 1.6
probe027 227.79 542.15 1.6
probe028 227.79 562.25 1.6
probe029 227.79 582.35 1.6
probe030 227.79 602.45 1.6
probe031 258.43 441.65 1.6
probe032 258.43 461.75 1.6
probe033 258.43 481.85 1.6
probe034 258.43 501.95 1.6
probe035 258.43 512 1.6
probe036 258.43 522.05 1.6
probe037 258.43 542.15 1.6
probe038 258.43 552.2 1.6
probe039 258.43 562.25 1.6
probe040 258.43 582.35 1.6
probe041 197.15 522.05 16
probe042 197.15 522.05 12
probe043 197.15 522.05 10
probe044 197.15 522.05 8
probe045 197.15 522.05 6
probe046 197.15 522.05 4
probe047 197.15 522.05 2
probe048 197.15 522.05 1
probe049 258.43 572.3 1
probe050 258.43 572.3 2
probe051 258.43 572.3 3
probe052 258.43 572.3 4
probe053 258.43 572.3 5
probe054 258.43 572.3 5.9
probe055 166.51 552.2 1
probe056 166.51 552.2 2
probe057 166.51 552.2 3
probe058 166.51 552.2 4
probe059 166.51 552.2 5
probe060 166.51 552.2 5.9
probe061 258.43 451.7 1
probe062 258.43 451.7 2
probe063 258.43 451.7 3
probe064 258.43 451.7 4
probe065 258.43 451.7 5
probe066 258.43 451.7 5.9
probe067 166.51 471.8 1
probe068 166.51 471.8 2
probe069 166.51 471.8 3
probe070 166.51 471.8 4
probe071 166.51 471.8 5
probe072 166.51 471.8 5.9
probe073 96.5 512 4
probe074 96.5 512 8
probe075 96.5 512 16
probe076 328.44 512 4
probe077 328.44 512 8
probe078 328.44 512 16
probe079 197.15 522.05 4
probe080 197.15 522.05 8
probe081 197.15 522.05 16
probe082 197.15 522.05 32
probe083 258.43 572.3 2.4
probe084 258.43 572.3 6
probe085 166.51 552.2 2.4
probe086 166.51 552.2 6
probe087 258.43 451.7 2.4
probe088 258.43 451.7 6
probe089 166.51 471.8 2.4
probe090 166.51 471.8 6
probe091 192.47 550.02 1.15
probe092 201.5 522.05 1.15
probe093 197.15 542.15 1.15
probe094 204.81 552.2 1.15
probe095 132.87 506.05 2.04
probe096 132.87 492.85 2.06
probe097 138.87 501.05 2.1
probe098 130.42 509.05 2.03
probe099 135.42 506.05 2.05
probe100 126.83 502.12 3.8
probe101 126.05 502.01 2.37
probe102 123.04 501.95 1.7
probe103 134.37 505.4 1
probe104 134.37 505.4 1.8
probe105 134.37 505.4 2.6
probe106 134.37 505.4 3.7
probe107 134.12 503.95 0.56
probe108 94 512 1.6
