MM;JJ;HH;MM;Date;VitUS;u*;FluxB;HautSPCB;nb_particules_B;MoyB ;FluxH;HautSPCH;nb_particules_H;MoyH;FluxF;HautSPCF;nb_particules_F;MoyF
2;22;21;48;53.90862;8.16794;0.2653;0.0002631;0.11;31489;136.36989;0.0000025;1.13;598;100.21975;0.0000016;3.35;194;110.20773
2;22;21;58;53.91557;8.5192;0.2135;0.0004289;0.11;46695;140.06466;0.0000028;1.13;1164;94.54025;0.0000008;3.35;256;88.37125
2;22;22;8;53.92251;8.84466;0.293;0.0003452;0.11;40737;137.41815;0.0000021;1.13;849;95.63498;0.0000005;3.35;115;85.682
2;22;22;18;53.92946;9.51086;0.2864;0.0009274;0.11;102130;140.43289;0.0000059;1.13;2516;94.87574;0.0000008;3.35;449;86.15733
2;22;22;28;53.9364;9.07849;0.2564;0.0006816;0.11;76007;141.47633;0.0000043;1.13;1694;95.7756;0.0000005;3.35;133;89.08647
2;22;22;38;53.94334;9.38376;0.291;0.000718;0.11;83258;139.61099;0.0000035;1.13;1572;93.57612;0.0000005;3.35;205;85.50507
2;22;22;48;53.95029;9.36285;0.3077;0.0005289;0.11;60680;138.9482;0.0000031;1.13;1318;95.85228;0.0000012;3.35;218;98.60904
2;22;22;58;53.95723;9.35462;0.3218;0.0006094;0.11;69881;139.52255;0.000005;1.13;1859;97.49708;0.0000007;3.35;256;92.53215
2;22;23;8;53.96418;9.51202;0.2583;0.0004136;0.11;54734;133.82437;0.0000021;1.13;821;93.73326;0.0000007;3.35;74;104.46378
2;22;23;18;53.97112;9.01417;0.2431;0.0000052;0.11;643;131.40526;0;1.13;2;69.94;0;3.35;0;0
2;22;23;28;53.97807;10.17418;0.3215;0.0006658;0.11;84885;135.51096;0.0000029;1.13;1243;93.58595;0.0000007;3.35;95;102.52358
2;22;23;38;53.98501;9.91799;0.2578;0.0007994;0.11;92131;139.48119;0.0000045;1.13;1889;94.4653;0.0000009;3.35;276;90.63848
2;22;23;48;53.99196;10.36959;0.2982;0.0010083;0.11;112905;141.14399;0.0000049;1.13;2121;94.13026;0.000001;3.35;267;91.67004
2;22;23;58;53.9989;11.31004;0.3536;0.0029378;0.11;248609;153.79099;0.0000266;1.13;9078;98.83702;0.0000044;3.35;2453;87.30713
2;23;0;8;54.00584;10.69688;0.3639;0.0021514;0.11;189394;152.22016;0.0000168;1.13;6035;98.61811;0.0000025;3.35;1446;85.06149
2;23;0;18;54.01279;10.1537;0.2574;0.0012469;0.11;124817;146.28672;0.0000052;1.13;2016;95.87252;0.0000007;3.35;442;85.02615
2;23;0;28;54.01973;10.25329;0.2673;0.0008818;0.11;107032;137.86672;0.0000038;1.13;1512;96.5558;0.0000005;3.35;137;87.96212
2;23;0;38;54.02668;11.00938;0.2977;0.0019213;0.11;193255;145.94672;0.0000107;1.13;4682;93.41887;0.0000011;3.35;674;82.38383
