Airfoil [-],AoA [deg],Re [-],C_l [-],C_d [-],C_m [-]
DTU10_AF_000,-180.0,0.0,00.0000,00.6038,00.0000
DTU10_AF_000,-175.0,0.0,-0.0011,00.6037,-0.0001
DTU10_AF_000,-170.0,0.0,-0.0022,00.6036,-0.0003
DTU10_AF_000,-165.0,0.0,-0.0032,00.6033,-0.0004
DTU10_AF_000,-160.0,0.0,-0.0041,00.6028,-0.0005
DTU10_AF_000,-155.0,0.0,-0.0049,00.6023,-0.0007
DTU10_AF_000,-150.0,0.0,-0.0055,00.6017,-0.0008
DTU10_AF_000,-145.0,0.0,-0.0060,00.6011,-0.0009
DTU10_AF_000,-140.0,0.0,-0.0063,00.6004,-0.0010
DTU10_AF_000,-135.0,0.0,-0.0063,00.5997,-0.0011
DTU10_AF_000,-130.0,0.0,-0.0063,00.5990,-0.0012
DTU10_AF_000,-125.0,0.0,-0.0060,00.5983,-0.0013
DTU10_AF_000,-120.0,0.0,-0.0055,00.5976,-0.0014
DTU10_AF_000,-115.0,0.0,-0.0049,00.5970,-0.0014
DTU10_AF_000,-110.0,0.0,-0.0041,00.5965,-0.0015
DTU10_AF_000,-105.0,0.0,-0.0032,00.5961,-0.0015
DTU10_AF_000,-100.0,0.0,-0.0022,00.5958,-0.0016
DTU10_AF_000,-095.0,0.0,-0.0011,00.5956,-0.0016
DTU10_AF_000,-090.0,0.0,00.0000,00.5956,-0.0016
DTU10_AF_000,-085.0,0.0,00.0011,00.5956,-0.0016
DTU10_AF_000,-080.0,0.0,00.0022,00.5958,-0.0016
DTU10_AF_000,-075.0,0.0,00.0032,00.5961,-0.0015
DTU10_AF_000,-070.0,0.0,00.0041,00.5965,-0.0015
DTU10_AF_000,-065.0,0.0,00.0049,00.5970,-0.0014
DTU10_AF_000,-060.0,0.0,00.0055,00.5976,-0.0014
DTU10_AF_000,-055.0,0.0,00.0060,00.5983,-0.0013
DTU10_AF_000,-050.0,0.0,00.0063,00.5990,-0.0011
DTU10_AF_000,-045.0,0.0,00.0063,00.5997,-0.0009
DTU10_AF_000,-040.0,0.0,00.0060,00.6005,-0.0007
DTU10_AF_000,-039.0,0.0,00.0057,00.6006,-0.0007
