Center [%],Chord [m],Twist [rad],Airfoil [-]
0.0119047619,5.3846260426,-0.2530914240,DTU10_AF_000
0.0357142857,5.3783582689,-0.2530646595,DTU10_AF_001
0.0595238095,5.3781283679,-0.2530648080,DTU10_AF_002
0.0833333333,5.4145124501,-0.2528213099,DTU10_AF_003
0.1071428571,5.5083456876,-0.2497879301,DTU10_AF_004
0.1309523810,5.6510288131,-0.2412359158,DTU10_AF_005
0.1547619048,5.8113007659,-0.2257576222,DTU10_AF_006
0.1785714286,5.9656644850,-0.2043017791,DTU10_AF_007
0.2023809524,6.0906207711,-0.1809116449,DTU10_AF_008
0.2261904762,6.1694711032,-0.1604531599,DTU10_AF_009
0.2500000000,6.2039518942,-0.1452799247,DTU10_AF_010
0.2738095238,6.1995092133,-0.1343085568,DTU10_AF_011
0.2976190476,6.1618292479,-0.1252786351,DTU10_AF_012
0.3214285714,6.0955782489,-0.1174980001,DTU10_AF_013
0.3452380952,6.0049294131,-0.1103200729,DTU10_AF_014
0.3690476190,5.8938531406,-0.1032908530,DTU10_AF_015
0.3928571429,5.7663634557,-0.0967050185,DTU10_AF_016
0.4166666667,5.6263441494,-0.0904062479,DTU10_AF_017
0.4404761905,5.4769540982,-0.0839414839,DTU10_AF_018
0.4642857143,5.3196537559,-0.0771517789,DTU10_AF_019
0.4880952381,5.1556993346,-0.0700564526,DTU10_AF_020
0.5119047619,4.9864002680,-0.0627494301,DTU10_AF_021
0.5357142857,4.8130569387,-0.0552952755,DTU10_AF_022
0.5595238095,4.6369359693,-0.0477667562,DTU10_AF_023
0.5833333333,4.4593481083,-0.0402351933,DTU10_AF_024
0.6071428571,4.2816228280,-0.0327617727,DTU10_AF_025
0.6309523810,4.1047651819,-0.0254151828,DTU10_AF_026
0.6547619048,3.9294135564,-0.0182630828,DTU10_AF_027
0.6785714286,3.7560135286,-0.0113601545,DTU10_AF_028
0.7023809524,3.5850077382,-0.0047394128,DTU10_AF_029
0.7261904762,3.4168601945,00.0015822779,DTU10_AF_030
0.7500000000,3.2520235372,00.0075879300,DTU10_AF_031
0.7738095238,3.0909660757,00.0132903764,DTU10_AF_032
0.7976190476,2.9340860171,00.0187190095,DTU10_AF_033
0.8214285714,2.7815705693,00.0239510323,DTU10_AF_034
0.8452380952,2.6332422286,00.0290755854,DTU10_AF_035
0.8690476190,2.4896566881,00.0341477858,DTU10_AF_036
0.8928571429,2.3475894532,00.0392303876,DTU10_AF_037
0.9166666667,2.1924558195,00.0443266576,DTU10_AF_038
0.9404761905,2.0020284614,00.0493150682,DTU10_AF_039
0.9642857143,1.7516429324,00.0539397080,DTU10_AF_040
0.9880952381,1.3124973340,00.0580043645,DTU10_AF_041
